"State, territory or commonwealth",Required in corporation name,Authority
North Carolina,"A corporation must contain the word ""corporation"", ""incorporated"", ""company"", or ""limited"", or the abbreviation ""corp."", ""inc."", ""co."", or ""ltd.""; a limited liability company must contain the words ""limited liability company"" or the abbreviation ""L.L.C."" or ""LLC"", or the combination ""ltd. liability co."", ""limited liability co."", or ""ltd. liability company""; a limited partnership that is not a limited liability limited partnership must contain the words ""limited partnership"", the abbreviation ""L.P."" or ""LP"", or the combination ""ltd. partnership""; a limited liability limited partnership must contain the words ""registered limited liability limited partnership"" or ""limited liability limited partnership"" or the abbreviation ""L.L.L.P."", ""R.L.L.L.P."", ""LLLP"", or ""RLLLP""; a registered limited liability partnership's name must contain the words ""registered limited liability partnership"" or ""limited liability partnership"" or the abbreviation ""L.L.P."", ""R.L.L.P."", ""LLP"" or ""RLLP"".","North Carolina General Statutes § 55D‑20
"
North Dakota,"Must contain the word ""company"", ""corporation"", ""incorporated"", ""limited"", or an abbreviation of one or more of these words; may not contain the words ""limited liability company"", ""limited partnership"", ""limited liability partnership"", ""limited liability limited partnership"", or any abbreviation of these words.","North Dakota Century Code 10–19.1–13
"
Ohio,"It shall end with or include the word or abbreviation ""company"", ""co."", ""corporation"", ""corp."", ""incorporated"", or ""inc.""","Ohio Revised Code § 1701.05
"
Oklahoma,"The name of the corporation which shall contain one of the words ""association"", ""company"", ""corporation"", ""club"", ""foundation"", ""fund"", ""incorporated"", ""institute"", ""society"", ""union"", ""syndicate"", or ""limited"" or abbreviations thereof, with or without punctuation","Oklahoma Statutes § 18-1006
"
Oregon,"For private corporations it shall contain one or more of the words ""corporation"", ""incorporated"", ""company"" or ""limited"" or an abbreviation of one or more of those words; shall not contain the word ""cooperative"". For non-profit corporations there is no specific requirement except the name cannot imply a purpose not dictated in its articles of incorporation and cannot contain the word ""cooperative"" or the phrase ""limited partnership.""","Oregon Revised Statutes 60.094 for Private Corporations; ORS 65.094 for Non-Profit corporations
"
Pennsylvania,"Corporation, Corp., Company, Co., Incorporated, Inc., Limited, Ltd., Association., Fund., Syndicate or words or abbreviations of like import in languages other than English","Pennsylvania Code, Chapter 19, § 23.3
"
Puerto Rico,"Corporation, Corp. or Inc., or words or abbreviations of like import in other languages, provided they are written in roman letters or characters","Title 14, Subtitle 4, § 2602, Laws of Puerto Rico.
"
Rhode Island,"""corporation"", ""company"", ""incorporated"", or ""limited"", or an abbreviation of one of these words","Rhode Island General Laws § 7–1.2-401
"
South Carolina,"""corporation"", ""incorporated"", ""company"", or ""limited"", the abbreviation ""corp."", ""inc."", ""co."", or ""ltd."", or words or abbreviations of like import in another language","South Carolina Code of Laws Section 33-4-101
"
South Dakota,"corporation, incorporated, company, or limited, or the abbreviation, corp., inc., co., or ltd., or terms or abbreviations of like import in another language","South Dakota Codified Laws 47-1A-401
"
Tennessee,"""corporation"", ""incorporated"", ""company"", or the abbreviation ""corp."", ""inc."", ""co."", or words or abbreviations of like import in another language (provided they are written in Roman characters or letters); existing corporations which were formed using only ""limited"" or ""ltd"" are not required to change their name","§ 48-14-101 Tennessee Code
"
Texas,"""company"", ""corporation"", ""incorporated"", or ""limited"", or an abbreviation of one of those words.","Texas Business Organizations Code § 5.054
"
U.S. Virgin Islands,name shall be such as to indicate that it is a corporation as distinguished from a natural person or partnership.,"Title Thirteen, § 2, Virgin Islands Code
"
Utah,"""corporation"", ""incorporated"", ""company""; the abbreviation: ""corp."", ""inc."" or ""co."" or words or abbreviations of like import to the words or abbreviations listed in another language; without the written consent of the United States Olympic Committee, may not contain the words ""Olympic"", ""Olympiad"", or ""Citius Altius Fortius""; without the written consent of the Division of Consumer Protection may not contain the words ""university"", ""college"" or ""institute""","§ 16-10a-401 Utah Code
"
Vermont,"""corporation"", ""incorporated"", ""company"", or ""limited"", or the abbreviation ""corp."", ""inc."", ""co."", or ""ltd."", or words or abbreviations of like import in another language; shall not have the word ""cooperative"" or any abbreviation thereof as part of its name unless the corporation is a worker cooperative corporation","Title 11A, § 4.01 Vermont Statutes
"
Virginia,"""corporation"", ""incorporated"", ""company"", or ""limited"", or the abbreviation ""corp."", ""inc."", ""co."", or ""ltd.""","§ 13.1–630. Code of Virginia
"
Washington,"""corporation"", ""incorporated"", ""company"", or ""limited"", or the abbreviation ""corp."", ""inc."", ""co."", or ""ltd.""; must not include ""Bank"", ""banking"", ""banker"", ""trust"", ""cooperative"", or any combination of the words ""industrial"" and ""loan"", or any combination of any two or more of the words ""building"", ""savings"", ""loan"", ""home"", ""association"", and ""society""","§ 23B.04.010 Revised Code of Washington
"
West Virginia,"""corporation"", ""incorporated"", ""company"" or ""limited"", or the abbreviation ""corp."", ""inc."", ""co."" or ""ltd."", or words or abbreviations of like import in another language","§ 31D-4-401 West Virginia Code
"
Wisconsin,"""corporation"", ""incorporated"", ""company"" or ""limited"" or the abbreviation ""corp."", ""inc."", ""co."" or ""ltd."" or words or abbreviations of like import in another language","§ 180.0401 Wisconsin Statutes (for Stock corporations) and § 181.0401 Wisconsin Statutes (for non-stock corporations)
"
Wyoming,"Unclear; apparently any of ""corporation"", ""company"", ""incorporated"", and probably the usual abbreviations of ""Corp."" ""Co."" and ""Inc.""","§ 17-16-401 Wyoming Statutes
"
